snippet_id,persona,wcag_criterion,expected,repetition,tool_name,iteration,elapsed_seconds,output_size_bytes,output_truncated,error
0bf30cdf02ff26dfca5aa705b7023227da221e05,ade,2.2.1,inapplicable,2,check_timing_and_timeouts,1,5.768,401,False,
48a600254c0883cd5a72471420b1ac5a532ca6c3,ade,2.2.1,inapplicable,0,check_timing_and_timeouts,1,5.644,276,False,
48a600254c0883cd5a72471420b1ac5a532ca6c3,ade,2.2.1,inapplicable,1,check_timing_and_timeouts,1,6.17,276,False,
48a600254c0883cd5a72471420b1ac5a532ca6c3,ade,2.2.1,inapplicable,2,check_timing_and_timeouts,1,5.679,276,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,0,check_keyboard_navigation,1,1.646,1462,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,0,validate_target_size,1,5.692,621,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,0,check_timing_and_timeouts,1,5.618,276,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,0,validate_form_errors_and_labels,1,6.518,436,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,1,check_keyboard_navigation,1,1.659,1462,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,1,validate_target_size,1,5.656,621,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,1,check_timing_and_timeouts,1,5.815,276,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,1,validate_form_errors_and_labels,1,6.649,436,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,2,check_keyboard_navigation,1,1.628,1462,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,2,validate_target_size,1,5.915,621,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,2,check_timing_and_timeouts,1,5.771,276,False,
ha-2-4-3-pass-01-natural-dom-order,ade,2.4.3,passed,2,validate_form_errors_and_labels,1,7.138,436,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,0,check_keyboard_navigation,1,1.628,1462,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,0,validate_target_size,1,5.718,376,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,1,check_keyboard_navigation,1,1.675,1462,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,1,validate_target_size,1,5.834,376,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,2,check_keyboard_navigation,1,1.676,1462,False,
ha-2-4-3-pass-02-modal-focus-trap,ade,2.4.3,passed,2,validate_target_size,1,5.88,376,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,0,check_keyboard_navigation,1,1.596,1462,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,0,validate_form_errors_and_labels,1,6.533,436,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,1,check_keyboard_navigation,1,1.607,1462,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,1,validate_form_errors_and_labels,1,6.622,436,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,2,check_keyboard_navigation,1,1.61,1462,False,
ha-2-4-3-fail-01-positive-tabindex,ade,2.4.3,failed,2,validate_form_errors_and_labels,1,6.541,436,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,0,check_keyboard_navigation,1,1.85,1462,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,0,validate_form_errors_and_labels,1,5.857,612,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,1,check_keyboard_navigation,1,1.562,1462,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,1,validate_form_errors_and_labels,1,5.854,612,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,2,check_keyboard_navigation,1,1.579,1462,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,2,validate_target_size,1,5.906,436,False,
ha-2-4-3-fail-02-visual-reorder-css,ade,2.4.3,failed,2,validate_form_errors_and_labels,1,5.876,612,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,0,check_keyboard_navigation,1,1.611,1462,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,0,validate_target_size,1,5.76,281,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,1,check_keyboard_navigation,1,1.637,1462,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,1,validate_target_size,1,5.829,281,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,2,check_keyboard_navigation,1,1.665,1462,False,
ha-2-4-3-inap-02-single-interactive,ade,2.4.3,inapplicable,2,validate_target_size,1,5.839,281,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,0,check_keyboard_navigation,1,1.604,1462,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,0,validate_target_size,1,5.689,278,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.623,1462,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,1,validate_target_size,1,5.855,278,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,2,check_keyboard_navigation,1,1.696,1462,False,
52be6331dc0978990a8b806a9a4a84bf738a43e1,ade,2.4.7,passed,2,validate_target_size,1,5.743,278,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,0,check_keyboard_navigation,1,1.577,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,0,validate_target_size,1,5.613,496,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,0,check_timing_and_timeouts,1,5.822,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,0,validate_form_errors_and_labels,1,5.873,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.608,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.701,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.84,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.697,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.874,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.884,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,6.056,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.592,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.802,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.643,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.809,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.692,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.84,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.663,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.769,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.647,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.72,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.736,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.773,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.611,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.993,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.574,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.782,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.57,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.801,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.6,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.85,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.634,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.768,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.762,195,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,6.089,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.625,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_form_errors_and_labels,1,5.787,130,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,validate_target_size,1,5.894,195,False,
